Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
283a7726-e157-a3ed-6201-09e108821933,2024-06-12,,999-28-1366,,,,Jay242,Edmond919,Bednar518,,,,asian,nonhispanic,M,North Adams  Massachusetts  US,1073 Denesik Street,Boston,Massachusetts,Suffolk County,25025,02210,42.37462952231435,-71.04994442234693,5775.78,0.00,44463
e93229c8-0b14-cc88-c8c7-091cab469b55,2018-02-13,,999-10-6870,,,,Heriberto162,Eduardo902,Strosin214,,,,white,nonhispanic,M,Reading  Massachusetts  US,1005 Crona Common Unit 30,Boston,Massachusetts,Suffolk County,25017,02467,42.30268975618854,-71.00949259634712,15104.48,21833.44,223203
6159bc7f-d076-ee65-3158-8e0ca45cfda4,2015-08-29,,999-25-5490,,,,Manie910,Dakota806,Smith67,,,,white,nonhispanic,F,Hanover  Massachusetts  US,579 Runte Green,Boston,Massachusetts,Suffolk County,25025,02136,42.355962437238205,-71.08702250299952,1566.96,23698.72,17601
ae20cf7f-6243-f654-07b4-b9964a2fe90b,2010-11-05,,999-69-9323,,,,Forrest301,Stanton715,Jast432,,,,black,hispanic,M,Lexington  Massachusetts  US,628 Sauer Station,Boston,Massachusetts,Suffolk County,25025,02132,42.31544609510529,-70.99966259096358,3193.19,61935.46,10228
179a2fcb-31b1-68fd-012b-d2c4e14e0e20,2004-07-30,,999-92-2291,S99950353,X39460045X,Mr.,Jeremy766,Irving123,Wehner319,,,,black,nonhispanic,M,Pepperell  Massachusetts  US,1051 Block Brook Suite 16,Boston,Massachusetts,Suffolk County,25025,02119,42.36449659246999,-71.05502708243941,39172.62,34480.89,81385
0e9712b9-9018-681d-6fd6-62cfebe902ed,1998-10-13,,999-74-7511,S99958001,X37294299X,Mr.,Tad831,Raymundo71,Ziemann98,,,,black,nonhispanic,M,Boston  Massachusetts  US,305 Luettgen Route Suite 29,Boston,Massachusetts,Suffolk County,25025,02125,42.32594594616767,-71.15026789511398,49770.62,39224.36,96749
02bd7095-14a0-84fd-fdd2-9c0a1ae96216,1999-10-28,,999-35-8646,S99987568,X78803935X,Mr.,Edgar153,Man114,Jacobs452,,,,black,nonhispanic,M,Lunenburg  Massachusetts  US,114 Dickens Green,Boston,Massachusetts,Suffolk County,25025,02124,42.384942584090425,-71.01301602016284,10563.48,690454.86,20074
175061db-f4bb-f021-96bb-99bb64f9e74b,2000-01-06,,999-48-1950,S99921905,X43429923X,Ms.,Gabriela205,Althea11,Huels583,,,,white,nonhispanic,F,Quincy  Massachusetts  US,1081 Pollich Club Apt 10,Boston,Massachusetts,Suffolk County,25025,02129,42.30904539383544,-71.05938287276622,81300.62,106123.93,40406
4e4aab81-dfb6-5147-3ce4-bdeac5aec241,1999-09-30,,999-76-7600,S99973709,X49030548X,Ms.,Lois157,Donnette259,McDermott739,,,,white,nonhispanic,F,East Sandwich  Massachusetts  US,1075 Batz Plaza Apt 3,Boston,Massachusetts,Suffolk County,25025,02116,42.31470204991125,-71.14292281330533,69774.33,201593.05,29849
43b88bd6-cabd-0133-d02a-caa5a088261c,1995-09-01,,999-46-4710,S99975610,X27505015X,Mr.,Cristobal567,Fritz267,Bosco882,,,M,white,nonhispanic,M,East Falmouth  Massachusetts  US,765 Kris Ramp Suite 83,Boston,Massachusetts,Suffolk County,25025,02124,42.36633331403656,-71.09773387359519,118582.51,629770.64,161810
47d96d84-7a45-d0ca-2eac-1a6dc6260735,2005-04-06,,999-72-7447,S99946358,X19995390X,Ms.,Katelyn962,Carmella421,Casper496,,,,black,nonhispanic,F,Bridgewater  Massachusetts  US,639 Hyatt Club Suite 22,Boston,Massachusetts,Suffolk County,25025,02122,42.237804497469604,-71.12448917961052,67014.28,21154.40,543481
a18a5442-3162-5fd8-e2f0-500ee05c92af,1992-02-13,,999-10-6660,S99915717,X89777574X,Mrs.,Sherise735,Berry486,VonRueden376,,Fritsch593,M,black,nonhispanic,F,Medfield  Massachusetts  US,1093 Sawayn Extension,Boston,Massachusetts,Suffolk County,25025,02119,42.37174433123071,-71.0766200308578,172687.21,504324.80,64046
bee8c080-5387-9bed-c0eb-60b29e3e656d,2018-02-16,,999-18-6330,,,,Regan713,Marcell728,Konopelski743,,,,hawaiian,nonhispanic,F,Haverhill  Massachusetts  US,616 Labadie Vista Apt 72,Boston,Massachusetts,Suffolk County,25025,02128,42.31189910078922,-71.12396887993445,967.98,12851.07,14692
2c98a806-20d7-d505-b9f6-931c47b54bbc,1985-03-21,,999-11-9716,S99975700,X68221505X,Mrs.,Florencia449,Verónica383,Hidalgo930,,Loera89,M,black,hispanic,F,Buenos Aires  Ciudad de Buenos Aires  AR,524 Mante Park Unit 42,Boston,Massachusetts,Suffolk County,25025,02135,42.33814184331627,-71.10072693531167,350582.54,354338.57,60389
0f23b302-5425-bdee-a20b-61bc30e9616f,1988-01-12,,999-42-3891,S99920202,X88954153X,Mr.,Theo630,Jospeh459,Zboncak558,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,886 Reichert Station Suite 80,Boston,Massachusetts,Suffolk County,25025,02115,42.282487932847204,-71.10858927765402,117931.09,0.00,102087
26c8936a-9a98-22d1-3e18-ab0137dead35,1985-12-22,,999-48-8159,S99974116,X47511378X,Mrs.,Madlyn383,,Emard19,,Rosenbaum794,M,asian,nonhispanic,F,Haiphong  Kiến An  VN,867 Rutherford Trace,Boston,Massachusetts,Suffolk County,25025,02152,42.240628144846106,-71.11013449945544,276767.32,514359.76,457192
f4cdb903-21f1-8532-bce3-29d6ff7cc408,2006-03-11,,999-15-3180,S99921425,,Ms.,Kristian973,Minna389,Casper496,,,,black,nonhispanic,F,Wilmington  Massachusetts  US,801 Lang Row Suite 95,Boston,Massachusetts,Suffolk County,25025,02127,42.34913858592597,-71.09930266021188,147699.34,597008.97,38634
7dc9b520-2ce0-0280-4b63-51a0c00f4433,1998-07-13,,999-84-9394,S99952820,X17678258X,Ms.,Cammie978,Loura465,Roob72,,,,other,nonhispanic,F,Boston  Massachusetts  US,242 Rath Mill,Boston,Massachusetts,Suffolk County,25025,02120,42.35161281994606,-71.05123581085007,133498.64,745137.15,43037
87f97f6a-505e-b792-3085-e9d9f470746b,2025-08-07,,999-89-4299,,,,Valentine262,,Mitchell808,,,,white,nonhispanic,F,Springfield  Massachusetts  US,179 Sawayn Boulevard Apt 54,Boston,Massachusetts,Suffolk County,25025,02110,42.37510710055204,-71.01886023415591,250.00,1749.22,13196
18752644-9cbb-d6ff-c562-b2659ddea3f9,2005-06-03,,999-51-1579,S99955331,X42444117X,Ms.,Emelina469,Rossie247,Gibson10,,,,white,nonhispanic,F,Revere  Massachusetts  US,166 Hodkiewicz Course,Boston,Massachusetts,Suffolk County,25025,02125,42.3396303984668,-71.19414974305194,349954.88,289166.97,41012
1c91529a-20ac-bc17-38f3-e3fa6239f867,2008-05-17,,999-89-6024,S99956644,,,Teofila990,,Mueller846,,,,black,hispanic,F,Middleborough  Massachusetts  US,1090 Emard Byway,Boston,Massachusetts,Suffolk County,25025,02118,42.32300645012045,-71.0523865561688,80675.89,0.00,44862
69649990-5167-ce7e-3b81-d1ccdcda003c,1992-12-18,,999-95-6500,S99969991,X74433836X,Mrs.,Rosa195,Berta524,Nava670,,Iglesias873,M,white,hispanic,F,Salisbury  Saint Joseph Parish  DM,1068 Pouros Bridge Apt 49,Boston,Massachusetts,Suffolk County,25025,02152,42.31105551529195,-71.04827474076151,56235.93,132068.86,24021
7aa1fe62-209a-84fa-36f9-c00967f207ae,2023-05-26,,999-73-2795,,,,Eldridge510,Isaias604,Bergnaum523,,,,asian,nonhispanic,M,Northborough  Massachusetts  US,130 Haag Union Apt 55,Boston,Massachusetts,Suffolk County,25025,02120,42.26790799513982,-71.15239347449727,6806.88,0.00,174359
a83d36c4-33fd-fe6a-228c-1a3bccce9736,1971-04-27,2024-09-27,999-18-8062,S99963590,X83206860X,Mr.,Cedric746,Rudolf736,Hahn503,,,M,white,hispanic,M,Boston  Massachusetts  US,976 McGlynn Path,Boston,Massachusetts,Suffolk County,25017,02467,42.385316113924006,-71.11686532060693,28258.45,1153056.48,20364
bed222f0-3532-d39e-7d9f-cf1c25033068,2008-03-18,,999-71-5802,S99955712,,,Fonda178,Kylee806,Powlowski563,,,,white,nonhispanic,F,Boston  Massachusetts  US,250 Quigley Row,Boston,Massachusetts,Suffolk County,25025,02118,42.36816411743523,-71.10675221035265,28769.80,36162.89,179435
6873e2f7-74de-5d7e-ec1f-ef229e2469c0,1982-02-16,,999-60-9217,S99981204,X59830930X,Mrs.,Reyna401,Nila48,Blanda868,,Wyman904,M,white,hispanic,F,Amesbury  Massachusetts  US,1016 Wiegand Dam,Boston,Massachusetts,Suffolk County,25025,02121,42.22979294857706,-71.17609515179475,315875.63,229941.65,91854
c9189e58-a8ed-1a9b-3d57-18108041e39c,1933-08-25,1988-03-29,999-81-4305,S99975445,X20954448X,Mrs.,Amalia471,Thora330,Mitchell808,,Smith67,D,black,nonhispanic,F,Norwood  Massachusetts  US,829 Hermiston Tunnel,Boston,Massachusetts,Suffolk County,25025,02109,42.340204942538065,-71.10751461722138,387435.34,1564936.53,34649
a361c6cb-15ef-a889-f15f-fbef6042377e,1948-07-26,2019-09-19,999-86-3593,S99947349,X23121326X,Mr.,Timothy142,Demarcus108,Bosco882,MD,,M,other,nonhispanic,M,Brockton  Massachusetts  US,566 Ferry Arcade Suite 92,Boston,Massachusetts,Suffolk County,25025,02215,42.24329226398199,-71.12568818124676,254863.00,668894.42,187292
8959d2cd-9bf0-8afa-23f2-d0e72648a596,2015-02-04,,999-17-6783,,,,Shira43,Francesca650,Schultz619,,,,white,nonhispanic,F,Lowell  Massachusetts  US,646 Braun Park Unit 27,Boston,Massachusetts,Suffolk County,25025,02215,42.34627880490722,-71.04709928695289,1980.15,33491.44,2284
a800bff4-9748-53e5-8bd4-9ec8a871eba8,1982-03-22,,999-61-3573,S99982421,X58464801X,Ms.,Maris768,Shavonda114,Lowe577,,,S,black,nonhispanic,F,Holden  Massachusetts  US,405 Gulgowski View Unit 36,Boston,Massachusetts,Suffolk County,25025,02113,42.319851444472796,-71.17217331178342,15815.56,1340881.86,13476
20e3a45e-5f25-4452-620d-16a928c47b16,2006-08-22,,999-71-7421,S99954464,,Mr.,Gil594,,Little434,,,,black,nonhispanic,M,Watertown  Massachusetts  US,757 Daniel Burg Suite 26,Boston,Massachusetts,Suffolk County,25025,02134,42.28479819742996,-71.02575649503767,34565.36,37507.83,631962
8c1c2bfe-77fc-e70b-88af-23a7054e8565,1997-08-22,,999-70-6861,S99960310,X2143416X,Mrs.,Leesa210,Ana972,Kihn564,,Bernier607,M,white,nonhispanic,F,Canton  Massachusetts  US,1086 Homenick Branch,Boston,Massachusetts,Suffolk County,25025,02118,42.351504930709076,-71.13333281354582,11016.72,730377.84,7172
8231adb3-d648-5e44-157f-368b21fa4803,2021-01-31,,999-75-1765,,,,Rudolph554,Barry322,Mayert710,,,,asian,nonhispanic,M,Wareham  Massachusetts  US,144 Swaniawski Parade Unit 4,Boston,Massachusetts,Suffolk County,25025,02110,42.36689455089726,-70.96929540128595,872.74,12722.98,25005
72600e14-de70-c1a7-1c4b-6ec09a846c4a,1989-06-21,,999-65-2221,S99965162,X71050689X,Mrs.,Mariana775,Mónica985,Carrion142,,Véliz274,D,white,hispanic,F,Guatemala City  Guatemala  GT,340 Doyle Lock Suite 88,Boston,Massachusetts,Suffolk County,25025,02136,42.35790307608239,-71.09301651070771,260209.32,497948.44,107112
cf6b37bc-1a25-2fcb-d879-b737b6aa94a9,1964-10-31,2018-09-25,999-60-5102,S99935691,X14177959X,Mrs.,Robbin22,Sondra191,Kilback373,,Heidenreich818,M,asian,nonhispanic,F,Needham  Massachusetts  US,751 Fisher Hollow,Boston,Massachusetts,Suffolk County,25025,02136,42.243334374048025,-71.11869779469318,15163.41,710167.83,10341
a34fd9a1-6636-bbf2-1b8d-9d241bab9a87,1996-01-16,,999-36-5738,S99925228,X14774608X,Mrs.,Lelah386,,Schaden604,,Feeney44,M,white,nonhispanic,F,Boston  Massachusetts  US,842 Ruecker Mission Apt 63,Boston,Massachusetts,Suffolk County,25025,02111,42.35057979448441,-71.05271209014018,11862.82,540580.85,5600
6b1c70ca-6516-7375-da52-9fb6575bfb3c,1990-06-16,,999-51-8122,S99983347,X36611966X,Mrs.,Chieko845,,Sanford861,,Mayert710,M,white,nonhispanic,F,North Andover  Massachusetts  US,375 Bergstrom Walk Apt 36,Boston,Massachusetts,Suffolk County,25025,02151,42.30005988629055,-71.08171409338583,159679.42,315435.12,84907
efec4df5-fa08-4a6c-5843-399fdf023da0,1988-06-08,,999-70-4718,S99962806,X60080039X,Mrs.,Alvera113,Shizue554,Rau926,,Reynolds644,M,white,nonhispanic,F,Worcester  Massachusetts  US,583 Murray Fort Unit 85,Boston,Massachusetts,Suffolk County,25025,02210,42.38441027049921,-71.05357091207718,197990.31,89837.73,832638
f4e5ac55-8a69-c61b-8c5e-6b10fefccb8d,2009-11-04,,999-81-4696,S99917508,,,Veronique514,Sharyn437,Buckridge80,,,,white,nonhispanic,F,Mashpee  Massachusetts  US,760 Smitham Crossing,Boston,Massachusetts,Suffolk County,25025,02122,42.308564179293505,-71.10098583514319,2817.91,37308.14,3236
ec2b9e80-ce96-9f66-98f2-b42184a41614,2020-12-30,,999-95-7366,,,,Cesar434,Donnie175,Monahan736,,,,black,hispanic,M,Boston  Massachusetts  US,263 Christiansen Highlands Apt 91,Boston,Massachusetts,Suffolk County,25025,02109,42.44954936122312,-71.02155142335238,1117.93,18102.21,1629
fa83786b-cd7c-74aa-2ede-f58019c66358,1995-12-29,,999-17-4895,S99958655,X31391394X,Mr.,Ruben688,Frederick289,Howe413,,,M,white,nonhispanic,M,Hadley  Massachusetts  US,562 Zulauf Bypass,Boston,Massachusetts,Suffolk County,25025,02128,42.40410699523177,-71.0698758925861,12765.76,768142.80,21571
60fac9b2-e457-74ca-3cbf-41aede7acb79,1997-03-27,,999-85-3447,S99944415,X89808879X,Mrs.,Renea551,Jerri638,Gislason620,,Witting912,M,white,hispanic,F,Franklin  Massachusetts  US,386 Prohaska Viaduct Unit 1,Boston,Massachusetts,Suffolk County,25025,02119,42.334052614805216,-71.09323506637682,7562.31,648205.73,6083
4e6f50f4-5521-867b-6d7e-c243c9fbff14,1985-12-18,,999-93-1897,S99960489,X10911031X,Mrs.,Lydia759,Odette203,Rowe323,,Fahey393,M,white,nonhispanic,F,Weymouth  Massachusetts  US,759 Hayes Port,Boston,Massachusetts,Suffolk County,25025,02136,42.31755160011806,-71.12422710219545,12567.73,898314.39,12504
b7eccb27-4a4d-0085-233b-760b1a7ecb3c,1941-01-02,2023-03-01,999-40-6684,S99972527,X4916412X,Mrs.,Bobby524,,Herzog843,,Schaden604,M,white,nonhispanic,F,Brookline  Massachusetts  US,979 Murazik Underpass Suite 4,Boston,Massachusetts,Suffolk County,25025,02135,42.39084317903739,-71.0062147899397,17947.05,1336368.17,17719
d18e8a2d-afbf-79c5-0351-3bf1ea38d95c,1971-04-27,,999-80-1670,S99989898,X16924761X,Mr.,Denver542,Jessie665,Schaefer657,,,D,white,hispanic,M,Andover  Massachusetts  US,1015 Keeling Well Unit 99,Boston,Massachusetts,Suffolk County,25025,02126,42.28210063916733,-71.10844215668126,20381.30,444510.41,20364
caa6c29f-a77e-c981-52a3-692c696db16d,1965-11-01,,999-62-3963,S99959783,X27412827X,Mrs.,Vallie201,Rosita520,Kutch271,,Gislason620,M,white,nonhispanic,F,Marblehead  Massachusetts  US,633 Kirlin Approach Unit 52,Boston,Massachusetts,Suffolk County,25025,02114,42.33055150865479,-71.05336716547009,179928.88,876741.27,181087
0e16d5ec-2a76-2007-c1af-c3fc7d2fb3e8,1946-11-02,2014-01-15,999-68-6704,S99939610,X10055044X,Mrs.,Ranee391,Eleni953,Bahringer146,,Kirlin939,M,black,nonhispanic,F,Easton  Massachusetts  US,844 Senger Wynd,Boston,Massachusetts,Suffolk County,25025,02129,42.36940350794438,-71.08674043164777,98084.98,1917351.23,18663
692f4ae3-ee0c-a3e5-cbbc-f6ef99ba130e,1965-04-29,,999-39-8191,S99924358,X16235920X,Mrs.,Faustina753,Blair400,Homenick806,,Bogan287,W,white,nonhispanic,F,Taunton  Massachusetts  US,310 Bernhard Manor Unit 57,Boston,Massachusetts,Suffolk County,25025,02130,42.37451103937643,-71.0837948884388,14815.51,580496.94,4359
0a068ea3-6b9c-87ea-be4b-a8b97952712b,1983-07-01,,999-32-3831,S99974894,X79779084X,Mrs.,Charles364,Beatriz277,O'Conner199,,Collins926,D,white,nonhispanic,F,Burlington  Massachusetts  US,982 Parisian Arcade,Boston,Massachusetts,Suffolk County,25025,02124,42.23661095181949,-71.17037692168094,12110.64,316559.11,11984
72253d36-8d18-c781-500f-9cddbc7c02cd,1964-10-31,,999-62-4700,S99954575,X11850048X,Mrs.,Regenia619,Pricilla716,Raynor401,,Raynor401,M,asian,nonhispanic,F,Taunton  Massachusetts  US,328 Kreiger Fort,Boston,Massachusetts,Suffolk County,25025,02131,42.37086476735303,-71.13878476110591,18110.08,1190446.48,10341
1fe77743-4168-b388-d950-45e897387a19,1972-10-14,,999-44-2299,S99918197,X48053364X,Mr.,Lorenzo669,,Becerra708,,,M,black,hispanic,M,Gaudalajara  Jalisco  MX,1041 Armstrong Orchard Unit 11,Boston,Massachusetts,Suffolk County,25025,02108,42.34425257794484,-71.01918388956476,102952.65,14400.68,53903
4f93bc6c-0daf-9949-6ee7-cc90d93b80fb,1948-07-26,,999-67-1891,S99958428,X87183344X,Mr.,Riley817,,Hansen121,MD,,M,other,nonhispanic,M,New Seabury  Massachusetts  US,391 Braun Rapid Suite 40,Boston,Massachusetts,Suffolk County,25025,02109,42.38121787565896,-71.09193697248041,245553.06,181633.78,187292
ccfd0232-533a-c074-337f-3f7bec197c4c,1941-06-26,2017-02-17,999-12-6425,S99983600,X43337290X,Mrs.,Sherita708,Hildegarde627,Beahan375,,Eichmann909,W,white,hispanic,F,Acushnet  Massachusetts  US,356 Pouros Gardens Suite 85,Boston,Massachusetts,Suffolk County,25025,02132,42.29813404061273,-71.06674431319792,1752315.18,936855.06,75161
5bc70a89-d03e-e6d5-645f-797a3be168ea,1933-08-25,,999-90-6395,S99919006,X6069768X,Mrs.,Yukiko930,Brigitte394,Considine820,,Langosh790,M,black,nonhispanic,F,Westford  Massachusetts  US,770 Fay Bay Apt 40,Boston,Massachusetts,Suffolk County,25025,02126,42.331440774671,-71.13368049825893,231824.62,915350.94,34649
1db4d028-c92e-5a92-7fd1-07102f146f80,1946-11-02,,999-74-9172,S99937960,X19843786X,Mrs.,Noel608,,Grant908,,Weber641,M,black,nonhispanic,F,Ludlow  Massachusetts  US,526 Gerlach View Suite 56,Boston,Massachusetts,Suffolk County,25025,02128,42.27945826058373,-71.15981161956995,20297.66,1078250.69,18663
786b5f49-5a0d-97f0-54ba-6584314357b1,1941-01-02,2018-05-07,999-80-1895,S99923077,X36906114X,Mrs.,Lucille738,Lynn917,Heathcote539,,Ondricka197,M,white,nonhispanic,F,Westport  Massachusetts  US,416 Hilll Wall Suite 31,Boston,Massachusetts,Suffolk County,25025,02121,42.2830462379038,-71.08935430932975,65062.55,2438826.40,17719
48b2ff00-85f2-922e-1ff2-6921facacfd5,1941-06-26,2022-11-01,999-74-6435,S99937860,X48618224X,Mrs.,Bethany501,Queen50,Weber641,,Feeney44,D,white,hispanic,F,Weston  Massachusetts  US,129 Mitchell Fork Unit 62,Boston,Massachusetts,Suffolk County,25025,02134,42.344422827071334,-71.12002067541957,1116665.34,490454.13,75161
bd99cbd7-7809-9a5b-9766-7e05ac02ec8b,1941-06-26,,999-95-8638,S99914520,X37267809X,Mrs.,Florence828,Devora529,Emmerich580,,Kertzmann286,W,white,hispanic,F,Cambridge  Massachusetts  US,712 Schiller Avenue Apt 13,Boston,Massachusetts,Suffolk County,25025,02163,42.367645520599105,-71.02158374219411,659825.04,343420.43,75161
